\cite{gook}
Mass (A):  TKE (MeV): Average Neutron Multiplicity :	 Uncertainty
 91.       147.        1.74156    0.600922
 91.       149.        1.18051    0.329552
 91.       151.        1.80594    0.30711
 91.       153.        1.859      0.253679
 91.       155.        2.10186    0.231618
 91.       157.        2.04189    0.196297
 91.       159.        1.99694    0.163539
 91.       161.        1.72969    0.143177
 91.       163.        1.79521    0.133157
 91.       165.        1.44465    0.109811
 91.       167.        1.42838    0.105019
 91.       169.        1.19181    0.0927437
 91.       171.        1.17165    0.09337
 91.       173.        0.922831   0.0847928
 91.       175.        1.10044    0.100602
 91.       177.        0.937053   0.099514
 91.       179.        0.797462   0.103782
 91.       181.        0.750458   0.120588
 91.       183.        0.746084   0.144565
 91.       185.        0.372932   0.135433
 91.       187.        0.199096   0.115935
 92.       145.        3.07761    1.94645
 92.       147.        1.93259    0.676333
 92.       149.        1.88696    0.423889
 92.       151.        2.01568    0.32305
 92.       153.        2.01371    0.240592
 92.       155.        2.00682    0.201139
 92.       157.        2.04998    0.180467
 92.       159.        1.76937    0.142724
 92.       161.        1.76633    0.135433
 92.       163.        1.81232    0.122514
 92.       165.        1.73036    0.109093
 92.       167.        1.45474    0.0949664
 92.       169.        1.55138    0.0970449
 92.       171.        1.47077    0.0930459
 92.       173.        1.15802    0.0825798
 92.       175.        0.991917   0.081328
 92.       177.        0.886334   0.0833458
 92.       179.        0.748612   0.0854582
 92.       181.        0.703841   0.0952436
 92.       183.        0.882699   0.128135
 92.       185.        0.691072   0.156492
 92.       187.        0.283633   0.108481
 92.       191.        1.36593    0.574194
 93.       147.        1.44307    0.568444
 93.       149.        1.53849    0.36455
 93.       151.        1.94356    0.302982
 93.       153.        2.43358    0.278386
 93.       155.        1.8619     0.19361
 93.       157.        2.22012    0.186269
 93.       159.        1.93653    0.140656
 93.       161.        1.66719    0.119283
 93.       163.        1.79077    0.115365
 93.       165.        1.69443    0.0987797
 93.       167.        1.36835    0.0840393
 93.       169.        1.51964    0.0873112
 93.       171.        1.47084    0.0853457
 93.       173.        1.16799    0.0744012
 93.       175.        1.05295    0.0732604
 93.       177.        0.891243   0.0728967
 93.       179.        0.930654   0.0814371
 93.       181.        0.862347   0.0902537
 93.       183.        0.453809   0.0774632
 93.       185.        0.715824   0.12208
 93.       187.        0.804871   0.158427
 93.       189.        0.649803   0.230867
 94.       147.        0.866111   0.367281
 94.       149.        2.25599    0.452352
 94.       151.        2.07125    0.336775
 94.       153.        2.357      0.265191
 94.       155.        1.85919    0.186889
 94.       157.        2.41858    0.18694
 94.       159.        2.1406     0.145202
 94.       161.        1.92179    0.121356
 94.       163.        1.98563    0.11596
 94.       165.        1.98999    0.101294
 94.       167.        1.39967    0.0770523
 94.       169.        1.70891    0.0843924
 94.       171.        1.2692     0.0699895
 94.       173.        1.251      0.0691769
 94.       175.        1.11729    0.0665464
 94.       177.        1.13088    0.0720316
 94.       179.        0.825639   0.0653602
 94.       181.        0.956092   0.0811414
 94.       183.        0.672369   0.07848
 94.       185.        0.446307   0.073626
 94.       187.        0.453611   0.092946
 94.       189.        0.633065   0.160302
 94.       191.        0.144205   0.0837912
 95.       147.        2.32804    0.675783
 95.       149.        1.86635    0.386282
 95.       151.        2.06786    0.331751
 95.       153.        2.2451     0.256686
 95.       155.        2.21599    0.203971
 95.       157.        2.27232    0.171914
 95.       159.        2.07343    0.139983
 95.       161.        2.01697    0.118674
 95.       163.        2.03625    0.110143
 95.       165.        1.69437    0.0861785
 95.       167.        1.60099    0.0778071
 95.       169.        1.45791    0.0706203
 95.       171.        1.35406    0.065612
 95.       173.        1.32911    0.0641928
 95.       175.        1.16367    0.0591705
 95.       177.        1.0225     0.0592498
 95.       179.        1.00988    0.0624838
 95.       181.        0.948955   0.067706
 95.       183.        0.7439     0.0663226
 95.       185.        0.723122   0.0797886
 95.       187.        0.498878   0.079059
 95.       189.        0.542203   0.107532
 95.       191.        0.181082   0.0698939
 95.       193.        0.176301   0.0888393
 96.       147.        0.759553   0.319164
 96.       149.        3.38084    0.61078
 96.       151.        2.61556    0.35782
 96.       153.        2.77872    0.291038
 96.       155.        2.44521    0.210627
 96.       157.        2.35255    0.169108
 96.       159.        2.15649    0.137742
 96.       161.        2.02107    0.112
 96.       163.        1.91316    0.0975617
 96.       165.        1.76044    0.081471
 96.       167.        1.81086    0.0780252
 96.       169.        1.71619    0.0697006
 96.       171.        1.42537    0.0592836
 96.       173.        1.4133     0.0606648
 96.       175.        1.15173    0.0532671
 96.       177.        1.07201    0.0527462
 96.       179.        1.06192    0.0558077
 96.       181.        0.844349   0.0538229
 96.       183.        0.76749    0.0576025
 96.       185.        0.674355   0.0621565
 96.       187.        0.552621   0.0660554
 96.       189.        0.491321   0.0782761
 96.       191.        0.445514   0.0937482
 96.       193.        0.390084   0.113972
 97.       147.        1.97051    0.574195
 97.       149.        3.0031     0.534378
 97.       151.        2.56228    0.35598
 97.       153.        2.88038    0.287735
 97.       155.        2.36527    0.209522
 97.       157.        2.68936    0.180876
 97.       159.        2.17775    0.137128
 97.       161.        2.00871    0.109798
 97.       163.        2.17603    0.102522
 97.       165.        1.90575    0.0802507
 97.       167.        1.95897    0.0760214
 97.       169.        1.82244    0.0665641
 97.       171.        1.5129     0.055889
 97.       173.        1.25964    0.0498115
 97.       175.        1.30765    0.0511371
 97.       177.        1.06856    0.0464205
 97.       179.        0.989037   0.0471486
 97.       181.        0.940722   0.048493
 97.       183.        0.752407   0.0476015
 97.       185.        0.634117   0.0501076
 97.       187.        0.653637   0.0619663
 97.       189.        0.418379   0.0580631
 97.       191.        0.535106   0.0802904
 97.       193.        0.263609   0.0747869
 97.       195.        0.121766   0.0612248
 98.       145.        1.31694    0.696124
 98.       147.        1.45036    0.535104
 98.       149.        1.64463    0.377972
 98.       151.        2.7654     0.358712
 98.       153.        2.16558    0.244093
 98.       155.        2.53585    0.209691
 98.       157.        2.51992    0.172765
 98.       159.        2.14533    0.131387
 98.       161.        2.35251    0.118329
 98.       163.        2.10526    0.0952279
 98.       165.        2.17629    0.0833877
 98.       167.        1.953      0.0711959
 98.       169.        1.90515    0.0649716
 98.       171.        1.64155    0.055679
 98.       173.        1.47015    0.050081
 98.       175.        1.31928    0.0458599
 98.       177.        1.19085    0.0441031
 98.       179.        1.04183    0.0424886
 98.       181.        0.98044    0.0434844
 98.       183.        0.82485    0.0423638
 98.       185.        0.63455    0.0415084
 98.       187.        0.534818   0.0448173
 98.       189.        0.483409   0.0521543
 98.       191.        0.362647   0.0565493
 98.       193.        0.282648   0.0607013
 98.       195.        0.192189   0.0702676
 99.       145.        1.635      0.991595
 99.       147.        1.93492    0.673623
 99.       149.        2.75564    0.535038
 99.       151.        2.51555    0.356591
 99.       153.        2.875      0.30184
 99.       155.        2.45109    0.217726
 99.       157.        2.20398    0.165882
 99.       159.        2.24112    0.135814
 99.       161.        2.42552    0.119382
 99.       163.        2.31347    0.099127
 99.       165.        2.16576    0.0814663
 99.       167.        2.06467    0.0706339
 99.       169.        1.73627    0.0582424
 99.       171.        1.62932    0.0514908
 99.       173.        1.52578    0.0464929
 99.       175.        1.38529    0.0432456
 99.       177.        1.24306    0.0401171
 99.       179.        1.1404     0.0390913
 99.       181.        1.01786    0.0387617
 99.       183.        0.851497   0.0375646
 99.       185.        0.717001   0.0373354
 99.       187.        0.579812   0.0390965
 99.       189.        0.371429   0.0363134
 99.       191.        0.33195    0.041953
 99.       193.        0.240089   0.0450861
 99.       195.        0.136911   0.0397576
100.       145.        1.86258    0.984548
100.       147.        3.11189    0.958082
100.       149.        3.09412    0.630658
100.       151.        2.45129    0.375537
100.       153.        3.14181    0.333964
100.       155.        2.8817     0.234779
100.       157.        2.74925    0.186714
100.       159.        2.63471    0.148391
100.       161.        2.42644    0.121167
100.       163.        2.55816    0.105464
100.       165.        2.2558     0.082336
100.       167.        2.22273    0.0704999
100.       169.        1.97511    0.0594018
100.       171.        1.90975    0.0529881
100.       173.        1.5574     0.0437284
100.       175.        1.45346    0.0400756
100.       177.        1.37107    0.0385915
100.       179.        1.22342    0.0361766
100.       181.        1.06351    0.0344504
100.       183.        0.895776   0.0329994
100.       185.        0.839944   0.0352342
100.       187.        0.606485   0.0330577
100.       189.        0.521029   0.0355253
100.       191.        0.349436   0.0340631
100.       193.        0.390424   0.0444029
100.       195.        0.22302    0.0418531
100.       197.        0.20096    0.0609544
101.       145.        1.15547    0.696773
101.       147.        4.24831    1.03816
101.       149.        2.20555    0.524432
101.       151.        2.74962    0.395914
101.       153.        2.18113    0.264533
101.       155.        3.31908    0.276639
101.       157.        2.48505    0.181126
101.       159.        2.69442    0.152626
101.       161.        2.44789    0.11824
101.       163.        2.45273    0.0992405
101.       165.        2.39623    0.0836521
101.       167.        2.36096    0.0718829
101.       169.        2.14912    0.0611608
101.       171.        1.88152    0.0497092
101.       173.        1.85756    0.0453178
101.       175.        1.53492    0.038736
101.       177.        1.44691    0.0356664
101.       179.        1.29089    0.0334211
101.       181.        1.15394    0.0316705
101.       183.        1.02178    0.0306926
101.       185.        0.847652   0.0300555
101.       187.        0.711794   0.0298602
101.       189.        0.644952   0.0322697
101.       191.        0.445739   0.031684
101.       193.        0.412439   0.0374911
101.       195.        0.24966    0.0350886
101.       197.        0.0954562  0.0267155
101.       199.        0.237478   0.0638256
102.       147.        3.03655    0.915578
102.       149.        2.43131    0.532863
102.       151.        2.74575    0.413468
102.       153.        2.8486     0.33156
102.       155.        2.72637    0.24069
102.       157.        2.95635    0.20954
102.       159.        3.14357    0.169911
102.       161.        2.5141     0.120607
