\cite{Zakharova}
Mass Number (A) : Average Number of Neutrons : error
  78.        0.		0
  79.5       0.615       0.11
  81.        0.832       0.11
  82.5       0.892       0.11
  84.        1.005       0.10
  85.5       1.166       0.10
  87.        1.141       0.06
  88.5       1.201       0.055
  90.        1.174       0.05
  91.5       1.327       0.05
  93.        1.311       0.04
  94.5       1.318       0.04
  96.        1.338       0.04
  97.5       1.374       0.04
  99.        1.351       0.04
 100.5       1.417       0.03
 102.        1.465       0.03
 103.5       1.492       0.03
 105.        1.671       0.02
 106.5       1.882       0.02
 108.        2.051       0.02
 109.5       2.231       0.03
 111.        2.373       0.04
 112.5       2.516       0.05
 114.        2.687       0.05
 115.5       2.808       0.055
 117.        3.023       0.055
 118.5       3.114       0.06
 120.        3.427       0.06
 121.5       3.682       0.10
 123.        3.817       0.11
 124.5       3.708       0.11
 126.        2.010       0.07      
 127.5       1.700       0.06      
 129.        1.164       0.055     
 130.5       0.823       0.05      
 132.        0.813       0.04      
 133.5       0.897       0.04      
 135.        1.027       0.04      
 136.5       1.175       0.04      
 138.        1.276       0.04      
 139.5       1.393       0.03      
 141.        1.438       0.02      
 142.5       1.469       0.02      
 144.        1.541       0.03      
 145.5       1.676       0.03      
 147.        1.826       0.03      
 148.5       2.006       0.04      
 150.        2.202       0.04      
 151.5       2.324       0.04      
 153.        2.536       0.05      
 154.5       2.734       0.10      
 156.        2.902       0.11      
 157.5       3.094       0.12      
 159.        3.011       0.12      
 160.5       3.084       0.13      
 162.        3.251       0.13      
 163.5       3.776       0.24      
 165.        3.612       0.28      
 166.5       3.413       0.33      
 168.        3.911       0.50      
 169.5       3.816       0.85      
 171.        2.699       1.05      
 172.5       1.265       0.165     
 174.        0     	0
