# n+239Pu
# Incident Energy =   14.90000
# Particle spectrum from Pre-equilibrium emission from 240P
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199167   0.0000000E+00   0.2268319E-01   0.5362817E-11
  0.398333   0.0000000E+00   0.4144849E-01   0.4981278E-11
  0.597500   0.0000000E+00   0.5304909E-01   0.4629920E-11
  0.796667   0.0000000E+00   0.6731067E-01   0.4306319E-11
  0.995833   0.0000000E+00   0.8753449E-01   0.4008235E-11
  1.195000   0.0000000E+00   0.1064096E+00   0.3733598E-11
  1.394167   0.0000000E+00   0.1175779E+00   0.3480501E-11
  1.593333   0.0000000E+00   0.1222931E+00   0.3247182E-11
  1.792500   0.0000000E+00   0.1228610E+00   0.3032018E-11
  1.991667   0.0000000E+00   0.1208118E+00   0.2833172E-11
  2.190833   0.0000000E+00   0.1175923E+00   0.2649693E-11
  2.390000   0.0000000E+00   0.1141554E+00   0.2565102E-11
  2.589167   0.0000000E+00   0.1110580E+00   0.3564587E-11
  2.788333   0.0000000E+00   0.1083355E+00   0.1181593E-10
  2.987500   0.0000000E+00   0.1058489E+00   0.6007901E-10
  3.186667   0.0000000E+00   0.1035203E+00   0.2947797E-09
  3.385833   0.0000000E+00   0.1013071E+00   0.1272048E-08
  3.585000   0.0000000E+00   0.9921402E-01   0.4808324E-08
  3.784167   0.0000000E+00   0.9725143E-01   0.1617366E-07
  3.983333   0.0000000E+00   0.9544783E-01   0.4915430E-07
  4.182500   0.0000000E+00   0.9383797E-01   0.1366978E-06
  4.381667   0.0000000E+00   0.9243733E-01   0.3521597E-06
  4.580833   0.0000000E+00   0.9123716E-01   0.8446555E-06
  4.780000   0.0000000E+00   0.9023720E-01   0.1896716E-05
  4.979167   0.0000000E+00   0.8945973E-01   0.4025689E-05
  5.178333   0.0000000E+00   0.8889458E-01   0.8106425E-05
  5.377500   0.0000000E+00   0.8850550E-01   0.1611611E-04
  5.576667   0.0000000E+00   0.8826815E-01   0.1471511E-03
  5.775833   0.0000000E+00   0.8813739E-01   0.2187933E-03
  5.975000   0.0000000E+00   0.8803742E-01   0.3145551E-03
  6.174167   0.0000000E+00   0.8789682E-01   0.4790519E-03
  6.373333   0.0000000E+00   0.8764749E-01   0.7062546E-03
  6.572500   0.0000000E+00   0.8722130E-01   0.1075069E-02
  6.771667   0.0000000E+00   0.8659196E-01   0.1468210E-02
  6.970833   0.0000000E+00   0.8572819E-01   0.2174039E-02
  7.170000   0.0000000E+00   0.8462501E-01   0.3167661E-02
  7.369167   0.0000000E+00   0.8335281E-01   0.4514823E-02
  7.568333   0.0000000E+00   0.8188675E-01   0.6238438E-02
  7.767500   0.0000000E+00   0.8027558E-01   0.8485485E-02
  7.966667   0.0000000E+00   0.7855646E-01   0.1135427E-01
