# Pre-equilibrium particle emission
# num energy points =  105
# Energy            xs (b)         prob
#  E (MeV)      xs_tot (b)               g               n               p               g               n               p
    0.1000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.3000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.5000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.7000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.9000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.1000   0.5956483E-03   0.0000000E+00   0.5956483E-03   0.7022142E-15   0.0000000E+00   0.1671041E-03   0.1970003E-15
    1.3000   0.1954174E-02   0.0000000E+00   0.1954174E-02   0.1702571E-14   0.0000000E+00   0.5236965E-03   0.4562699E-15
    1.5000   0.3871071E-02   0.0000000E+00   0.3871071E-02   0.2784764E-14   0.0000000E+00   0.1048834E-02   0.7545086E-15
    1.7000   0.6284660E-02   0.0000000E+00   0.6284660E-02   0.3834646E-14   0.0000000E+00   0.1769312E-02   0.1079563E-14
    1.9000   0.9226258E-02   0.0000000E+00   0.9226258E-02   0.4790962E-14   0.0000000E+00   0.2737884E-02   0.1421714E-14
    2.1000   0.1263142E-01   0.0000000E+00   0.1263142E-01   0.5648082E-14   0.0000000E+00   0.3970113E-02   0.1775218E-14
    2.3000   0.1636287E-01   0.0000000E+00   0.1636287E-01   0.6431530E-14   0.0000000E+00   0.5434276E-02   0.2135977E-14
    2.5000   0.2034608E-01   0.0000000E+00   0.2034608E-01   0.7178765E-14   0.0000000E+00   0.7088499E-02   0.2501055E-14
    2.7000   0.2453741E-01   0.0000000E+00   0.2453741E-01   0.7913705E-14   0.0000000E+00   0.8893612E-02   0.2868332E-14
    2.9000   0.2887568E-01   0.0000000E+00   0.2887568E-01   0.8640050E-14   0.0000000E+00   0.1081526E-01   0.3236092E-14
    3.1000   0.3330984E-01   0.0000000E+00   0.3330984E-01   0.9357795E-14   0.0000000E+00   0.1282787E-01   0.3603756E-14
    3.3000   0.3781323E-01   0.0000000E+00   0.3781323E-01   0.1007303E-13   0.0000000E+00   0.1491300E-01   0.3972659E-14
    3.5000   0.4237907E-01   0.0000000E+00   0.4237907E-01   0.1087107E-13   0.0000000E+00   0.1705854E-01   0.4375853E-14
    3.7000   0.4702075E-01   0.0000000E+00   0.4702075E-01   0.1232287E-13   0.0000000E+00   0.1925610E-01   0.5046504E-14
    3.9000   0.5176232E-01   0.0000000E+00   0.5176232E-01   0.1755678E-13   0.0000000E+00   0.2149915E-01   0.7292095E-14
    4.1000   0.5665213E-01   0.0000000E+00   0.5665213E-01   0.4118800E-13   0.0000000E+00   0.2378235E-01   0.1729057E-13
    4.3000   0.6172224E-01   0.0000000E+00   0.6172224E-01   0.1420252E-12   0.0000000E+00   0.2610120E-01   0.6005984E-13
    4.5000   0.6701646E-01   0.0000000E+00   0.6701646E-01   0.5265663E-12   0.0000000E+00   0.2845204E-01   0.2235553E-12
    4.7000   0.7256757E-01   0.0000000E+00   0.7256757E-01   0.1842085E-11   0.0000000E+00   0.3083196E-01   0.7826512E-12
    4.9000   0.7843371E-01   0.0000000E+00   0.7843371E-01   0.5931294E-11   0.0000000E+00   0.3323876E-01   0.2513573E-11
    5.1000   0.8467999E-01   0.0000000E+00   0.8467999E-01   0.1762140E-10   0.0000000E+00   0.3567123E-01   0.7422967E-11
    5.3000   0.9131736E-01   0.0000000E+00   0.9131736E-01   0.4868743E-10   0.0000000E+00   0.3812858E-01   0.2032891E-10
    5.5000   0.9839714E-01   0.0000000E+00   0.9839714E-01   0.1258990E-09   0.0000000E+00   0.4061042E-01   0.5196096E-10
    5.7000   0.1059035E+00   0.0000000E+00   0.1059035E+00   0.3061635E-09   0.0000000E+00   0.4311681E-01   0.1246493E-09
    5.9000   0.1138403E+00   0.0000000E+00   0.1138403E+00   0.7046687E-09   0.0000000E+00   0.4564831E-01   0.2825619E-09
    6.1000   0.1220967E+00   0.0000000E+00   0.1220967E+00   0.1540829E-08   0.0000000E+00   0.4820574E-01   0.6083439E-09
