# n+239Pu
# Incident Energy =   12.90000
# Particle spectrum from Pre-equilibrium emission from 240P
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199167   0.0000000E+00   0.2786145E-01   0.2079011E-10
  0.398333   0.0000000E+00   0.5052376E-01   0.1917037E-10
  0.597500   0.0000000E+00   0.6419287E-01   0.1769396E-10
  0.796667   0.0000000E+00   0.8088220E-01   0.1634773E-10
  0.995833   0.0000000E+00   0.1044839E+00   0.1511969E-10
  1.195000   0.0000000E+00   0.1262100E+00   0.1399892E-10
  1.394167   0.0000000E+00   0.1386194E+00   0.1297548E-10
  1.593333   0.0000000E+00   0.1433595E+00   0.1204030E-10
  1.792500   0.0000000E+00   0.1432528E+00   0.1118516E-10
  1.991667   0.0000000E+00   0.1401512E+00   0.1040133E-10
  2.190833   0.0000000E+00   0.1357669E+00   0.9683592E-11
  2.390000   0.0000000E+00   0.1312082E+00   0.9334313E-11
  2.589167   0.0000000E+00   0.1271097E+00   0.1291896E-10
  2.788333   0.0000000E+00   0.1235006E+00   0.4266001E-10
  2.987500   0.0000000E+00   0.1202126E+00   0.2161200E-09
  3.186667   0.0000000E+00   0.1171492E+00   0.1056726E-08
  3.385833   0.0000000E+00   0.1142555E+00   0.4544888E-08
  3.585000   0.0000000E+00   0.1115306E+00   0.1712451E-07
  3.784167   0.0000000E+00   0.1089805E+00   0.5742171E-07
  3.983333   0.0000000E+00   0.1066314E+00   0.1739795E-06
  4.182500   0.0000000E+00   0.1045165E+00   0.4823696E-06
  4.381667   0.0000000E+00   0.1026473E+00   0.1238910E-05
  4.580833   0.0000000E+00   0.1010086E+00   0.2962433E-05
  4.780000   0.0000000E+00   0.9959493E-01   0.6631532E-05
  4.979167   0.0000000E+00   0.9842560E-01   0.1402992E-04
  5.178333   0.0000000E+00   0.9748414E-01   0.2815757E-04
  5.377500   0.0000000E+00   0.9672564E-01   0.5578411E-04
  5.576667   0.0000000E+00   0.9611857E-01   0.5074787E-03
  5.775833   0.0000000E+00   0.9560928E-01   0.7516191E-03
  5.975000   0.0000000E+00   0.9511112E-01   0.1076119E-02
  6.174167   0.0000000E+00   0.9454368E-01   0.1631624E-02
  6.373333   0.0000000E+00   0.9383142E-01   0.2394036E-02
  6.572500   0.0000000E+00   0.9290019E-01   0.3625577E-02
  6.771667   0.0000000E+00   0.9172183E-01   0.4924028E-02
  6.970833   0.0000000E+00   0.9026391E-01   0.7247526E-02
  7.170000   0.0000000E+00   0.8852272E-01   0.1049121E-01
  7.369167   0.0000000E+00   0.8657359E-01   0.1484703E-01
  7.568333   0.0000000E+00   0.8439207E-01   0.2035650E-01
  7.767500   0.0000000E+00   0.8203010E-01   0.2745453E-01
  7.966667   0.0000000E+00   0.7952687E-01   0.3639552E-01
  8.165833   0.0000000E+00   0.7687769E-01   0.4723924E-01
  8.365000   0.0000000E+00   0.7414258E-01   0.6052343E-01
  8.564167   0.0000000E+00   0.7132092E-01   0.7645745E-01
  8.763333   0.0000000E+00   0.6841924E-01   0.9526772E-01
  8.962500   0.0000000E+00   0.6546102E-01   0.1169200E+00
  9.161667   0.0000000E+00   0.6244325E-01   0.1414376E+00
  9.360833   0.0000000E+00   0.5936928E-01   0.1686749E+00
  9.560000   0.0000000E+00   0.5624954E-01   0.1984591E+00
  9.759167   0.0000000E+00   0.5307432E-01   0.2302895E+00
  9.958333   0.0000000E+00   0.4983671E-01   0.2634663E+00
 10.157500   0.0000000E+00   0.4652816E-01   0.2968787E+00
 10.356667   0.0000000E+00   0.4313770E-01   0.3291506E+00
 10.555833   0.0000000E+00   0.3964901E-01   0.3587152E+00
 10.755000   0.0000000E+00   0.3604613E-01   0.3834882E+00
 10.954167   0.0000000E+00   0.3230883E-01   0.4000951E+00
 11.153333   0.0000000E+00   0.2841283E-01   0.4059059E+00
 11.352500   0.0000000E+00   0.2432847E-01   0.3972458E+00
 11.551667   0.0000000E+00   0.2000940E-01   0.3694062E+00
 11.750833   0.0000000E+00   0.1541760E-01   0.3167345E+00
 11.950000   0.0000000E+00   0.1045748E-01   0.2327527E+00
 12.149167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.348333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.547500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.746667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.945833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.145000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.344167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.543333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.742500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.941667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.140833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.340000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.539167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.738333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.937500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.136667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.335833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.535000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.734167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.933333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.132500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.331667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.530833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.730000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.929167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.128333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.327500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.526667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.725833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.925000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.124167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.323333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.522500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.721667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.920833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.120000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.319167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.518333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.717500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.916667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.115833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.315000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.514167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.713333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.912500   0.0000000E+00   0.0000000E+00   0.0000000E+00
