E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.010592 0.042423 0.159999 377.152000
0.011885 0.083358 0.133740 160.439000
0.013335 0.210781 0.109889 52.134100
0.014962 0.103739 0.104004 100.256000
0.016788 0.035412 0.102128 288.399000
0.018836 0.093818 0.093520 99.682600
0.021135 0.247296 0.085321 34.501700
0.023714 0.179752 0.079115 44.013100
0.026607 0.139710 0.073351 52.502200
0.029854 0.128132 0.065342 50.996300
0.033496 0.117647 0.060056 51.047500
0.037584 0.144385 0.054786 37.944100
0.042170 0.121003 0.048181 39.818300
0.047315 0.105341 0.044063 41.828600
0.053088 0.168751 0.042989 25.474900
0.059566 0.187865 0.041719 22.207000
0.066834 0.140946 0.039207 27.816900
0.074989 0.142306 0.038413 26.993300
0.084140 0.194891 0.039081 20.052900
0.094406 0.214093 0.036336 16.972100
0.105925 0.224456 0.032644 14.543700
0.118851 0.252213 0.031137 12.345600
0.133353 0.239333 0.027945 11.676000
0.149624 0.245860 0.026223 10.665800
0.167880 0.229992 0.022663 9.854040
0.188365 0.256440 0.021973 8.568530
0.211349 0.284938 0.022605 7.933330
0.237137 0.273643 0.021227 7.757140
0.266073 0.282822 0.021746 7.688800
0.298538 0.292313 0.022763 7.787210
0.334965 0.302651 0.023909 7.899990
0.375837 0.312637 0.025025 8.004460
0.421697 0.295051 0.024756 8.390460
0.473151 0.321208 0.027541 8.574200
0.530884 0.346942 0.029163 8.405840
0.595662 0.324884 0.025973 7.994650
0.668344 0.331246 0.024119 7.281260
0.749894 0.302807 0.021050 6.951560
0.841395 0.348642 0.020776 5.959130
0.944061 0.288099 0.016556 5.746560
1.059250 0.295042 0.015963 5.410560
1.188510 0.292194 0.015686 5.368470
1.333530 0.301651 0.016328 5.413000
1.496240 0.285007 0.016894 5.927610
0.944061 0.313564 0.010707 3.414690
1.059250 0.311071 0.008767 2.818290
1.188510 0.300697 0.007933 2.638290
1.333530 0.283417 0.007172 2.530640
1.496240 0.267088 0.006692 2.505720
1.678800 0.253218 0.006332 2.500720
1.883650 0.235870 0.005908 2.504570
2.113490 0.213082 0.005354 2.512510
2.371370 0.191306 0.004827 2.523110
2.660730 0.168046 0.004305 2.561570
2.985380 0.144335 0.003735 2.587780
3.349650 0.120346 0.003149 2.617010
3.758370 0.098189 0.002600 2.647880
4.216970 0.076716 0.002078 2.709190
4.731510 0.058314 0.001628 2.791770
5.308840 0.043055 0.001243 2.886970
5.956620 0.028198 0.000867 3.073950
6.683440 0.017338 0.000583 3.364540
7.498940 0.010013 0.000400 3.999600
8.413950 0.005660 0.000286 5.047360
9.440610 0.003095 0.000218 7.037400
