239Pu(nth,f)
A	N_gamma
  83.  0.2675  2.1659
  84.  3.1707  1.6244
  85. -0.3014  1.6245
  86.  1.1248  1.5263
  87.  3.2159  1.1818
  88.  2.0331  1.1816
  89.  2.8935  1.0342
  90.  4.0241  0.936
  91.  1.8079  0.763
  92.  2.1513  0.7384
  93.  2.593  0.6894
  94.  3.109  0.6646
  95.  4.2894  0.7875
  96.  3.5497  0.492
  97.  2.9822  0.5168
  98.  3.6699  0.4924
  99.  3.2503  0.4676
  100.  3.7658  0.5912
  101.  4.1834  0.4427
  102.  4.0097  0.4183
  103.  3.7867  0.3203
  104.  4.3518  0.4677
  105.  4.1534  0.5418
  106.  4.6689  0.5174
  107.  5.2833  0.5418
  108.  4.9376  0.4675
  109.  5.5022  0.6403
  110.  4.5412  0.6404
  111.  6.3124  0.8368
  112.  3.7513  1.157
  113.  5.596  1.3783
  126.  1.5924  1.969
  127.  0.7786  1.4774
  128.  2.4269  1.1321
  129. -0.011  0.886
  130.  1.809  0.7386
  131.  0.9215  0.5418
  132.  1.3881  0.6402
  133.  1.0176  0.4679
  134.  1.6564  0.4926
  135.  2.3447  0.4923
  136.  2.3186  0.3939
  137.  2.8343  0.3941
  138.  2.7838  0.3939
  139.  2.635  0.4183
  140.  3.1502  0.4683
  141.  3.8385  0.5419
  142.  3.2958  0.5171
  143.  4.0331  0.5166
  144.  3.8594  0.5172
  145.  3.1691  0.64
  146.  4.5711  0.5907
  147.  4.9635  0.6891
  148.  5.3563  0.8123
  149.  5.6258  0.8123
  150.  3.2859  1.0834
  151.  4.3186  0.8864
  152.  4.9078  1.1818
  153.  3.6269  1.2308
  154.  6.3338  1.6987
  155.  7.0462  1.7725
  156.  3.205  1.9197

A	E_gamma (all)
  83.  0.2675  2.1659
  84.  3.1707  1.6244
  85. -0.3014  1.6245
  86.  1.1248  1.5263
  87.  3.2159  1.1818
  88.  2.0331  1.1816
  89.  2.8935  1.0342
  90.  4.0241  0.936
  91.  1.8079  0.763
  92.  2.1513  0.7384
  93.  2.593  0.6894
  94.  3.109  0.6646
  95.  4.2894  0.7875
  96.  3.5497  0.492
  97.  2.9822  0.5168
  98.  3.6699  0.4924
  99.  3.2503  0.4676
  100.  3.7658  0.5912
  101.  4.1834  0.4427
  102.  4.0097  0.4183
  103.  3.7867  0.3203
  104.  4.3518  0.4677
  105.  4.1534  0.5418
  106.  4.6689  0.5174
  107.  5.2833  0.5418
  108.  4.9376  0.4675
  109.  5.5022  0.6403
  110.  4.5412  0.6404
  111.  6.3124  0.8368
  112.  3.7513  1.157
  113.  5.596  1.3783
  126.  1.5924  1.969
  127.  0.7786  1.4774
  128.  2.4269  1.1321
  129. -0.011  0.886
  130.  1.809  0.7386
  131.  0.9215  0.5418
  132.  1.3881  0.6402
  133.  1.0176  0.4679
  134.  1.6564  0.4926
  135.  2.3447  0.4923
  136.  2.3186  0.3939
  137.  2.8343  0.3941
  138.  2.7838  0.3939
  139.  2.635  0.4183
  140.  3.1502  0.4683
  141.  3.8385  0.5419
  142.  3.2958  0.5171
  143.  4.0331  0.5166
  144.  3.8594  0.5172
  145.  3.1691  0.64
  146.  4.5711  0.5907
  147.  4.9635  0.6891
  148.  5.3563  0.8123
  149.  5.6258  0.8123
  150.  3.2859  1.0834
  151.  4.3186  0.8864
  152.  4.9078  1.1818
  153.  3.6269  1.2308
  154.  6.3338  1.6987
  155.  7.0462  1.7725
  156.  3.205  1.9197

A	E_gamma/N_gamma
    8.3000E+01   3.3364E+00   8.2730E+00
    8.4000E+01   1.1275E+00   6.1905E-01
    8.5000E+01  -2.1330E+00   5.5966E+00
    8.6000E+01   2.8378E-01   3.3968E+00
    8.7000E+01   9.4117E-01   4.5656E-01
    8.8000E+01   2.0750E+00   6.1282E-01
    8.9000E+01   1.2775E+00   3.9782E-01
    9.0000E+01   1.0542E+00   2.7178E-01
    9.1000E+01   1.4942E+00   4.6037E-01
    9.2000E+01   1.4055E+00   3.8055E-01
    9.3000E+01   9.4543E-01   3.0135E-01
    9.4000E+01   1.0680E+00   2.5265E-01
    9.5000E+01   1.0230E+00   2.1572E-01
    9.6000E+01   1.0401E+00   1.8405E-01
    9.7000E+01   1.1794E+00   1.8993E-01
    9.8000E+01   9.6501E-01   1.5839E-01
    9.9000E+01   1.0435E+00   1.6860E-01
    1.0000E+02   9.0714E-01   1.5970E-01
    1.0100E+02   8.9953E-01   1.2476E-01
    1.0200E+02   9.7556E-01   1.3712E-01
    1.0300E+02   1.0066E+00   1.2444E-01
    1.0400E+02   7.9590E-01   1.3329E-01
    1.0500E+02   9.3543E-01   1.4821E-01
    1.0600E+02   9.9165E-01   1.3095E-01
    1.0700E+02   9.2790E-01   1.1438E-01
    1.0800E+02   9.1224E-01   1.2573E-01
    1.0900E+02   8.5015E-01   1.4410E-01
    1.1000E+02   8.8767E-01   1.8728E-01
    1.1100E+02   8.8645E-01   1.7009E-01
    1.1200E+02   1.1007E+00   3.6360E-01
    1.1300E+02   9.5533E-01   3.1140E-01
    1.2700E+02   1.1051E+00   1.3593E+00
    1.2800E+02   3.1207E+00   1.9291E+00
    1.2900E+02   3.5605E-01   8.5679E-01
    1.3000E+02  -2.5465E+02   8.0546E+01
    1.3100E+02   1.0812E+00   4.5612E-01
    1.3200E+02   2.1757E+00   6.2051E-01
    1.3300E+02   1.1934E+00   4.8499E-01
    1.3400E+02   1.7982E+00   4.9255E-01
    1.3500E+02   1.5844E+00   3.2558E-01
    1.3600E+02   1.2991E+00   2.3166E-01
    1.3700E+02   1.0563E+00   2.0326E-01
    1.3800E+02   8.8142E-01   1.5552E-01
    1.3900E+02   9.7751E-01   1.8467E-01
    1.4000E+02   1.1550E+00   1.8239E-01
    1.4100E+02   1.0369E+00   1.7442E-01
    1.4200E+02   7.4078E-01   1.7079E-01
    1.4300E+02   9.6805E-01   1.8266E-01
    1.4400E+02   7.9098E-01   1.7337E-01
    1.4500E+02   5.8825E-01   2.1192E-01
    1.4600E+02   1.1944E+00   2.3397E-01
    1.4700E+02   9.8011E-01   1.5366E-01
    1.4800E+02   7.7737E-01   1.8935E-01
    1.4900E+02   7.8978E-01   2.1110E-01
    1.5000E+02   4.3834E-01   2.6453E-01
    1.5100E+02   9.3177E-01   4.0506E-01
    1.5200E+02   6.8573E-01   3.3798E-01
    1.5300E+02   6.9950E-01   3.7100E-01
    1.5400E+02   2.0287E+00   3.7462E-01
    1.5500E+02   9.9681E-01   3.2137E-01
    1.5600E+02   4.1645E-01   5.4418E-01
    1.5700E+02   2.0548E+00   6.5461E-01


