A	N_gamma		
  81.  1.3215  1.4953
  82. -0.9957  1.1963
  83.  1.5221  0.972
  84.  2.2704  0.7973
  85.  1.9969  0.7226
  86.  2.5707  0.5483
  87.  2.6461  0.5233
  88.  2.5718  0.4238
  89.  3.0959  0.3988
  90.  3.1466  0.3736
  91.  3.1222  0.3987
  92.  3.1726  0.274
  93.  3.2481  0.274
  94.  3.3732  0.3489
  95.  3.5981  0.2244
  96.  3.8978  0.2742
  97.  3.6991  0.2241
  98.  3.0517  0.324
  99.  3.825  0.3239
  100.  3.8005  0.299
  101.  4.1253  0.274
  102.  4.1508  0.3488
  103.  4.9739  0.3987
  104.  5.2238  0.5231
  105.  4.975  0.4735
  106.  5.7732  0.5979
  107.  6.322  0.7727
  108.  4.5532  1.2212
  126.  1.8232  1.4702
  127. -0.2697  0.9966
  128.  0.0799  0.6729
  129.  1.0773  0.5981
  130.  0.5546  0.4735
  131.  0.7048  0.324
  132.  1.5276  0.3241
  133.  1.4038  0.3489
  134.  1.7284  0.3239
  135.  1.8037  0.2741
  136.  2.6768  0.2244
  137.  2.2286  0.3489
  138.  2.2044  0.3488
  139.  2.7034  0.2244
  140.  3.1027  0.2243
  141.  3.3776  0.274
  142.  3.5526  0.2492
  143.  3.7527  0.3487
  144.  3.8281  0.3488
  145.  3.8287  0.3987
  146.  4.3776  0.4984
  147.  4.2287  0.4485
  148.  4.2044  0.6477
  149.  4.5788  0.7726
  150.  4.4797  0.8721
  151.  5.0037  0.8723
  152.  7.297  1.3706
  153.  5.0547  1.5702

A	E_gamma 
  81.  1.9561  0.953
  82.  1.3041  0.7523
  83.  2.257  0.6019
  84.  3.8119  0.4765
  85.  2.884  0.5767
  86.  3.185  0.4514
  87.  4.0627  0.326
  88.  2.8589  0.301
  89.  4.163  0.2508
  90.  3.8119  0.2508
  91.  3.6364  0.2256
  92.  3.837  0.1755
  93.  3.3605  0.1756
  94.  4.0125  0.2007
  95.  3.837  0.1755
  96.  4.2132  0.2006
  97.  3.6614  0.2006
  98.  3.5361  0.1755
  99.  3.4859  0.1755
  100.  3.8871  0.1756
  101.  3.5361  0.2507
  102.  4.0125  0.2257
  103.  5.2414  0.3511
  104.  4.5392  0.326
  105.  4.0878  0.326
  106.  5.4922  0.5015
  107.  4.6143  0.5268
  108.  2.5078  0.9781
  126.  3.8871  0.9781
  127.  1.3793  0.7022
  128.  0.2257  0.4013
  129.  2.0815  0.4514
  130.  1.7806  0.3009
  131.  0.9781  0.326
  132.  2.4325  0.3261
  133.  3.0596  0.1755
  134.  2.6332  0.1756
  135.  2.9091  0.2257
  136.  2.9342  0.2758
  137.  2.8088  0.2257
  138.  2.4325  0.2007
  139.  2.6834  0.2006
  140.  2.7837  0.1755
  141.  3.2351  0.2256
  142.  2.8338  0.1505
  143.  3.21  0.2007
  144.  3.0094  0.2006
  145.  2.7335  0.2508
  146.  3.9122  0.2759
  147.  2.6082  0.3009
  148.  3.6364  0.3761
  149.  3.7116  0.5517
  150.  3.3354  0.6019
  151.  4.5392  0.5517
  152.  5.116  1.0282
  153.  4.6143  1.0282

A	E_gamma/N_gamma		Uncertainty
    8.1000E+01   1.4802E+00   1.2319E+00
