#  n+235U
# Incident Energy =    8.10000
# Particle spectrum from Pre-equilibrium emission from 236U
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199153   0.0000000E+00   0.3965235E-01   0.2659391E-07
  0.398305   0.0000000E+00   0.7477801E-01   0.2426545E-07
  0.597458   0.0000000E+00   0.9740587E-01   0.2218493E-07
  0.796610   0.0000000E+00   0.1203315E+00   0.2032070E-07
  0.995763   0.0000000E+00   0.1523326E+00   0.1864539E-07
  1.194915   0.0000000E+00   0.1890991E+00   0.1713530E-07
  1.394068   0.0000000E+00   0.2171449E+00   0.1576996E-07
  1.593220   0.0000000E+00   0.2299988E+00   0.1453161E-07
  1.792373   0.0000000E+00   0.2319810E+00   0.1340491E-07
  1.991525   0.0000000E+00   0.2275513E+00   0.1237152E-07
  2.190678   0.0000000E+00   0.2199587E+00   0.1146967E-07
  2.389831   0.0000000E+00   0.2114128E+00   0.1171333E-07
  2.588983   0.0000000E+00   0.2032671E+00   0.2187523E-07
  2.788136   0.0000000E+00   0.1959413E+00   0.9522270E-07
  2.987288   0.0000000E+00   0.1891987E+00   0.5048274E-06
  3.186441   0.0000000E+00   0.1827793E+00   0.2375177E-05
  3.385593   0.0000000E+00   0.1763889E+00   0.9717571E-05
  3.584746   0.0000000E+00   0.1698828E+00   0.3491544E-04
  3.783898   0.0000000E+00   0.1632751E+00   0.1113450E-03
  3.983051   0.0000000E+00   0.1566541E+00   0.3222366E-03
  4.182203   0.0000000E+00   0.1501064E+00   0.8526500E-03
  4.381356   0.0000000E+00   0.1436423E+00   0.2073220E-02
  4.580508   0.0000000E+00   0.1372839E+00   0.4675059E-02
  4.779661   0.0000000E+00   0.1310440E+00   0.9838099E-02
  4.978814   0.0000000E+00   0.1248505E+00   0.1941780E-01
  5.177966   0.0000000E+00   0.1186607E+00   0.3606650E-01
  5.377119   0.0000000E+00   0.1124129E+00   0.1514251E+00
  5.576271   0.0000000E+00   0.1060152E+00   0.7017278E+00
  5.775424   0.0000000E+00   0.9932823E-01   0.4896639E+00
  5.974576   0.0000000E+00   0.9220594E-01   0.7818560E+00
  6.173729   0.0000000E+00   0.8449126E-01   0.8503167E+00
  6.372881   0.0000000E+00   0.7599231E-01   0.1076987E+01
  6.572034   0.0000000E+00   0.6639980E-01   0.8958952E+00
  6.771186   0.0000000E+00   0.5584298E-01   0.0000000E+00
  6.970339   0.0000000E+00   0.4382624E-01   0.0000000E+00
  7.169492   0.0000000E+00   0.3013967E-01   0.0000000E+00
  7.368644   0.0000000E+00   0.0000000E+00   0.0000000E+00
  7.567797   0.0000000E+00   0.0000000E+00   0.0000000E+00
  7.766949   0.0000000E+00   0.0000000E+00   0.0000000E+00
  7.966102   0.0000000E+00   0.0000000E+00   0.0000000E+00
  8.165254   0.0000000E+00   0.0000000E+00   0.0000000E+00
  8.364407   0.0000000E+00   0.0000000E+00   0.0000000E+00
  8.563559   0.0000000E+00   0.0000000E+00   0.0000000E+00
  8.762712   0.0000000E+00   0.0000000E+00   0.0000000E+00
  8.961864   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.161017   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.360169   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.559322   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.758475   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.957627   0.0000000E+00   0.0000000E+00   0.0000000E+00
