#  n+235U
# Incident Energy =   15.90000
# Particle spectrum from Pre-equilibrium emission from 236U
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199153   0.0000000E+00   0.1602325E-01   0.3458931E-11
  0.398305   0.0000000E+00   0.3117860E-01   0.3230066E-11
  0.597458   0.0000000E+00   0.4182326E-01   0.3018308E-11
  0.796610   0.0000000E+00   0.5310602E-01   0.2822341E-11
  0.995763   0.0000000E+00   0.6897892E-01   0.2640946E-11
  1.194915   0.0000000E+00   0.8771195E-01   0.2472995E-11
  1.394068   0.0000000E+00   0.1030172E+00   0.2317441E-11
  1.593220   0.0000000E+00   0.1114523E+00   0.2173317E-11
  1.792373   0.0000000E+00   0.1146851E+00   0.2039729E-11
  1.991525   0.0000000E+00   0.1146553E+00   0.1915075E-11
  2.190678   0.0000000E+00   0.1128684E+00   0.1806397E-11
  2.389831   0.0000000E+00   0.1104145E+00   0.1877504E-11
  2.588983   0.0000000E+00   0.1080110E+00   0.3570492E-11
  2.788136   0.0000000E+00   0.1059192E+00   0.1583934E-10
  2.987288   0.0000000E+00   0.1040540E+00   0.8566523E-10
  3.186441   0.0000000E+00   0.1023082E+00   0.4117195E-09
  3.385593   0.0000000E+00   0.1005471E+00   0.1723534E-08
  3.584746   0.0000000E+00   0.9870120E-01   0.6348940E-08
  3.783898   0.0000000E+00   0.9680053E-01   0.2080735E-07
  3.983051   0.0000000E+00   0.9491330E-01   0.6206277E-07
  4.182203   0.0000000E+00   0.9311127E-01   0.1698374E-06
  4.381356   0.0000000E+00   0.9142374E-01   0.4288589E-06
  4.580508   0.0000000E+00   0.8989124E-01   0.1009352E-05
  4.779661   0.0000000E+00   0.8855387E-01   0.2230654E-05
  4.978814   0.0000000E+00   0.8740062E-01   0.4658802E-05
  5.177966   0.0000000E+00   0.8644426E-01   0.9245231E-05
  5.377119   0.0000000E+00   0.8569657E-01   0.4199115E-04
  5.576271   0.0000000E+00   0.8513436E-01   0.2140387E-03
  5.775424   0.0000000E+00   0.8473007E-01   0.1681190E-03
  5.974576   0.0000000E+00   0.8444163E-01   0.3129132E-03
  6.173729   0.0000000E+00   0.8422252E-01   0.4182567E-03
  6.372881   0.0000000E+00   0.8399826E-01   0.7196354E-03
  6.572034   0.0000000E+00   0.8369657E-01   0.1028609E-02
  6.771186   0.0000000E+00   0.8328090E-01   0.1599271E-02
  6.970339   0.0000000E+00   0.8269036E-01   0.2265816E-02
  7.169492   0.0000000E+00   0.8191576E-01   0.3262728E-02
  7.368644   0.0000000E+00   0.8097358E-01   0.4564153E-02
  7.567797   0.0000000E+00   0.7984650E-01   0.6267586E-02
  7.766949   0.0000000E+00   0.7856888E-01   0.8467759E-02
