#  n+235U
# Incident Energy =    9.10000
# Particle spectrum from Pre-equilibrium emission from 236U
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199153   0.0000000E+00   0.3434228E-01   0.3449107E-08
  0.398305   0.0000000E+00   0.6502595E-01   0.3155470E-08
  0.597458   0.0000000E+00   0.8501059E-01   0.2892271E-08
  0.796610   0.0000000E+00   0.1053629E+00   0.2655840E-08
  0.995763   0.0000000E+00   0.1337811E+00   0.2442966E-08
  1.194915   0.0000000E+00   0.1665294E+00   0.2250842E-08
  1.394068   0.0000000E+00   0.1917261E+00   0.2077008E-08
  1.593220   0.0000000E+00   0.2035846E+00   0.1919319E-08
  1.792373   0.0000000E+00   0.2058473E+00   0.1775908E-08
  1.991525   0.0000000E+00   0.2024222E+00   0.1644475E-08
  2.190678   0.0000000E+00   0.1961757E+00   0.1530224E-08
  2.389831   0.0000000E+00   0.1890740E+00   0.1569158E-08
  2.588983   0.0000000E+00   0.1823337E+00   0.2943985E-08
  2.788136   0.0000000E+00   0.1763440E+00   0.1288176E-07
  2.987288   0.0000000E+00   0.1709056E+00   0.6869303E-07
  3.186441   0.0000000E+00   0.1657951E+00   0.3253453E-06
  3.385593   0.0000000E+00   0.1607581E+00   0.1341176E-05
  3.584746   0.0000000E+00   0.1556572E+00   0.4860655E-05
  3.783898   0.0000000E+00   0.1505187E+00   0.1565491E-04
  3.983051   0.0000000E+00   0.1454272E+00   0.4582773E-04
  4.182203   0.0000000E+00   0.1404691E+00   0.1228854E-03
  4.381356   0.0000000E+00   0.1356604E+00   0.3034835E-03
  4.580508   0.0000000E+00   0.1310398E+00   0.6970427E-03
  4.779661   0.0000000E+00   0.1266307E+00   0.1499413E-02
  4.978814   0.0000000E+00   0.1223849E+00   0.3038880E-02
  5.177966   0.0000000E+00   0.1182868E+00   0.5831027E-02
  5.377119   0.0000000E+00   0.1143148E+00   0.2549844E-01
  5.576271   0.0000000E+00   0.1103968E+00   0.1244924E+00
  5.775424   0.0000000E+00   0.1064541E+00   0.9307604E-01
  5.974576   0.0000000E+00   0.1023898E+00   0.1636349E+00
  6.173729   0.0000000E+00   0.9810356E-01   0.2045967E+00
  6.372881   0.0000000E+00   0.9346271E-01   0.3251795E+00
  6.572034   0.0000000E+00   0.8836273E-01   0.4222389E+00
  6.771186   0.0000000E+00   0.8272506E-01   0.5827130E+00
  6.970339   0.0000000E+00   0.7646288E-01   0.7076656E+00
  7.169492   0.0000000E+00   0.6954424E-01   0.8282056E+00
  7.368644   0.0000000E+00   0.6195131E-01   0.8520098E+00
  7.567797   0.0000000E+00   0.5354557E-01   0.6804048E+00
  7.766949   0.0000000E+00   0.4449147E-01   0.0000000E+00
  7.966102   0.0000000E+00   0.3451284E-01   0.0000000E+00
  8.165254   0.0000000E+00   0.2346553E-01   0.0000000E+00
  8.364407   0.0000000E+00   0.0000000E+00   0.0000000E+00
  8.563559   0.0000000E+00   0.0000000E+00   0.0000000E+00
  8.762712   0.0000000E+00   0.0000000E+00   0.0000000E+00
  8.961864   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.161017   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.360169   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.559322   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.758475   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.957627   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.156780   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.355932   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.555085   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.754237   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.953390   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.152542   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.351695   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.550847   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.750000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.949153   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.148305   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.347458   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.546610   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.745763   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.944915   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.144068   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.343220   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.542373   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.741525   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.940678   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.139831   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.338983   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.538136   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.737288   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.936441   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.135593   0.0000000E+00   0.0000000E+00   0.0000000E+00
