From Ramona 11may11:
A         nubar         nubar err
MASS       DATA       ERR-S
NO-DIM     PRT/FIS    PRT/FIS
        76.      .3936  .935  E-01
        77.      .5153  .7604 E-01
        78.      .629   .7516 E-01
        79.      .7488  .7066 E-01
        80.      .7077  .6135 E-01
        81.      .7069  .5291 E-01
        82.      .7222  .4899 E-01
        83.      .7489  .4627 E-01
        84.      .8154  .4253 E-01
        85.      .953   .4346 E-01
        86.      .837   .3481 E-01
        87.      .8536  .3258 E-01
        88.      .992   .3271 E-01
        89.  .1001E+01  .296  E-01
        90.  .111 E+01  .2933 E-01
        91.  .1166E+01  .2837 E-01
        92.  .1198E+01  .27   E-01
        93.  .1338E+01  .2855 E-01
        94.  .1364E+01  .2773 E-01
        95.  .1402E+01  .2787 E-01
        96.  .146 E+01  .2868 E-01
        97.  .1476E+01  .2889 E-01
        98.  .1504E+01  .294  E-01
        99.  .152 E+01  .3023 E-01
       100.  .166 E+01  .3363 E-01
       101.  .1576E+01  .3354 E-01
       102.  .1677E+01  .3769 E-01
       103.  .1703E+01  .4058 E-01
       104.  .1826E+01  .4804 E-01
       105.  .1922E+01  .5612 E-01
       106.  .2104E+01  .7026 E-01
       107.  .1922E+01  .7594 E-01
       108.  .2276E+01      .1094
       109.  .2092E+01      .1254
       110.  .173 E+01      .1332
       111.  .1813E+01      .1768
       112.  .1753E+01      .2295
       126.      .673       .1154
       127.      .6942  .8299E-01
       128.      .6274  .7705E-01
       129.      .6274  .5822E-01
       130.      .5673  .5842E-01
       131.      .6448  .4199E-01
       132.      .596   .4184E-01
       133.      .6763  .3543E-01
       134.      .6974  .317 E-01
       135.      .7929  .3086E-01
       136.      .8985  .301 E-01
       137.      .8855  .2923E-01
       138.  .1006E+01  .2969E-01
       139.  .1102E+01  .3062E-01
       140.  .1075E+01  .3   E-01
       141.  .1094E+01  .3114E-01
       142.  .119 E+01  .3265E-01
       143.  .1167E+01  .331 E-01
       144.  .1197E+01  .3517E-01
       145.  .1285E+01  .3809E-01
       146.  .1293E+01  .4084E-01
       147.  .1243E+01  .4363E-01
       148.  .1316E+01  .4965E-01
       149.  .1468E+01  .5863E-01
       150.  .1452E+01  .657 E-01
       151.  .1516E+01  .7525E-01
       152.  .162 E+01  .9214E-01
       153.  .1653E+01      .1123
       154.  .1674E+01      .1241
