E_n : \text{pre } \overline{TKE}  :  Uncertainty 
0.0     168.9   0.3   
0.2     168.92  0.07  
0.4     169.02  0.06  
0.6     169.17  0.06  
0.8     169.17  0.06  
1.0     169.13  0.06  
1.1     169.11  0.08  
1.3     169.00  0.08  
1.4     168.93  0.08  
1.6     168.96  0.08  
1.8     168.90  0.07  
2.0     168.84  0.07  
2.2     168.69  0.08  
2.5     168.72  0.08  
2.8     168.73  0.08  
3.2     168.63  0.08  
3.5     168.37  0.08  
4.0     168.22  0.08  
4.5     168.19  0.09  
5.0     167.87  0.09  
5.6     167.75  0.09  
6.3     167.77  0.09  
7.1     167.80  0.09  
7.9     167.67  0.09  
8.9     167.25  0.09  
10.0    166.80  0.1   
11.2    166.48  0.11  
12.6    166.27  0.11  
14.1    166.18  0.11  
15.8    165.84  0.11  
17.8    165.27  0.12  
20.0    164.89  0.13  
22.4    165.03  0.13  
25.1    164.53  0.13  
28.2    164.08  0.13  
31.6    163.70  0.13  
35.5    163.55  0.13  
