E(MeV)  PFNS     Uncertainty
0.232   0.26440  0.14587
0.278   0.32054  0.10465
0.320   0.30196  0.08519
0.359   0.32384  0.06912
0.397   0.32100  0.05329
0.435   0.34190  0.04582
0.472   0.33127  0.03848
0.506   0.32872  0.03672
0.538   0.34088  0.03563
0.570   0.35343  0.03776
0.599   0.35474  0.03446
0.631   0.34525  0.03132
0.666   0.33759  0.02949
0.696   0.34380  0.03412
0.723   0.34505  0.03214
0.750   0.33286  0.03
0.780   0.33484  0.02917
0.811   0.34067  0.02972
0.844   0.33628  0.02737
0.879   0.34568  0.02612
0.917   0.33554  0.02547
0.956   0.34019  0.02491
0.999   0.33690  0.02481
1.044   0.33625  0.02290
1.093   0.32862  0.02257
1.145   0.32635  0.02165
1.200   0.31438  0.02112
1.260   0.30833  0.02004
1.325   0.31034  0.01951
1.395   0.30141  0.01832
1.471   0.29196  0.01818
1.552   0.28878  0.01848
1.641   0.27830  0.01737
1.738   0.27330  0.01665
1.843   0.25725  0.01633
1.958   0.24212  0.01612
2.051   0.23059  0.015
2.117   0.22341  0.01497
2.187   0.21708  0.01501
2.259   0.21205  0.01516
2.336   0.20397  0.01513
2.417   0.19447  0.015
2.502   0.18378  0.01479
2.591   0.17777  0.01495
2.686   0.16808  0.01483
2.786   0.16197  0.01506
2.891   0.15183  0.01494
3.002   0.14073  0.01471
3.120   0.13181  0.01468
3.245   0.12326  0.01471
3.378   0.11367  0.0156
3.519   0.10289  0.01529
3.669   0.09361  0.01613
3.829   0.08611  0.01632
4.000   0.07883  0.01652
4.182   0.07007  0.01737
4.377   0.06014  0.01770
4.586   0.05165  0.01913
4.811   0.04386  0.01958
5.053   0.03735  0.02124
5.313   0.03081  0.02157
5.594   0.02554  0.02319
5.898   0.02118  0.02607
6.227   0.01678  0.02824
6.585   0.01314  0.0306
6.976   0.00973  0.03427
7.401   0.00676  0.03684
7.867   0.00488  0.04446
8.379   0.00351  0.05378
8.943   0.00220  0.06069
9.566   0.00155  0.0803
10.257  0.00082  0.09592
11.026  0.00048  0.11438
11.885  0.00036  0.1602
