SUBENT        41110001   20061020   20070521   20060816       4139
BIB                 12         21
INSTITUTE  (4RUSFEI,4RUSRI)
REFERENCE  (J,YF,53,(3),628,1991)   Curves Are Given
           (J,PAN,53,(3),392,1991)
AUTHOR     (G.S.BOYKOV,V.D.DMITRIEV,G.A.KUDYAEV,YU.B.OSTAPENKO,
           M.I.SVIRIN,G.N.SMIRENKIN)
TITLE       Neutron Spectrum In The Fission Of Th-232, U-235
            And U-238 By Neutron With Energies 2.9 And 14.7 MeV
FACILITY   (VDG,4RUSRI )  Neutron Generator NG-400
INC-SOURCE (D-D,D-T)
SAMPLE      Two-sided Metallic Layers On Aluminium Foil,
            Thickness 2 milligram/cm2, Diameter 100 mm
METHOD     (TOF)
DETECTOR   (FISCH)  Four-section Multy-layer Ionization Chamber
                    Filled With Methane
           (SCIN)  Stilbene Crystal For Neutron Detecion
MONITOR    ((MONIT)98-CF-252(0,F),PR,NU)
ERR-ANALYS (ERR-T)   Total Error
HISTORY    (19921204C)  + + COMPILED AT THE CENTRE - CJD + +
           (20010311A) DATE is corrected
           (20061020U) Misprint in Reference Year was corrected.
                       Second reference was added. M.M.
ENDBIB              21
COMMON               2          3
EN-RSL     MONIT
NSEC/M     PRT/FIS
  2.5          3.766
ENDCOMMON            3
ENDSUBENT           28
SUBENT        41110009   20010311   20011019   20050926       0000
BIB                  2          4
REACTION  1((92-U-235(N,F),PR,DE,N)/(98-CF-252(0,F),PR,DE,N))
          2(92-U-235(N,F),PR,DE,N,REL)  SPECTRE IS NORMALIZED TO
                                        UNITY
STATUS     (APRVD)  SVIRIN, 921125
ENDBIB               4
NOCOMMON             0          0
DATA                 5        148
EN         E          DATA      1DATA      2ERR-T     2
MEV        MEV        NO-DIM     ARB-UNITS  PER-CENT
  2.9       0.232     1.006      0.26440     14.5
  2.9       0.278     1.150      0.32054      9.1
  2.9       0.320     1.039      0.30196      8.2
  2.9       0.359     1.080      0.32384      6.4
  2.9       0.397     1.045      0.32100      5.1
  2.9       0.435     1.091      0.34190      4.2
  2.9       0.472     1.040      0.33127      3.7
  2.9       0.506     1.020      0.32872      3.6
  2.9       0.538     1.048      0.34088      3.4
  2.9       0.570     1.079      0.35343      3.5
  2.9       0.599     1.077      0.35474      3.2
  2.9       0.631     1.044      0.34525      3.0
  2.9       0.666     1.017      0.33759      2.9
  2.9       0.696     1.034      0.34380      3.3
  2.9       0.723     1.037      0.34505      3.1
  2.9       0.750     1.000      0.33286      3.0
  2.9       0.780     1.006      0.33484      2.9
  2.9       0.811     1.025      0.34067      2.9
  2.9       0.844     1.014      0.33628      2.7
  2.9       0.879     1.045      0.34568      2.5
  2.9       0.917     1.019      0.33554      2.5
  2.9       0.956     1.038      0.34019      2.4
  2.9       0.999     1.034      0.33690      2.4
  2.9       1.044     1.041      0.33625      2.2
  2.9       1.093     1.026      0.32862      2.2
  2.9       1.145     1.031      0.32635      2.1
  2.9       1.200     1.006      0.31438      2.1
  2.9       1.260     1.002      0.30833      2.0
  2.9       1.325     1.027      0.31034      1.9
  2.9       1.395     1.018      0.30141      1.8
  2.9       1.471     1.010      0.29196      1.8
  2.9       1.552     1.027      0.28878      1.8
  2.9       1.641     1.022      0.27830      1.7
  2.9       1.738     1.041      0.27330      1.6
  2.9       1.843     1.021      0.25725      1.6
  2.9       1.958     1.008      0.24212      1.6
  2.9       2.051     1.000      0.23059      1.5
  2.9       2.117     0.998      0.22341      1.5
  2.9       2.187     1.001      0.21708      1.5
  2.9       2.259     1.011      0.21205      1.5
  2.9       2.336     1.009      0.20397      1.5
  2.9       2.417     1.000      0.19447      1.5
  2.9       2.502     0.986      0.18378      1.5
  2.9       2.591     0.997      0.17777      1.5
  2.9       2.686     0.989      0.16808      1.5
  2.9       2.786     1.004      0.16197      1.5
  2.9       2.891     0.996      0.15183      1.5
  2.9       3.002     0.981      0.14073      1.5
  2.9       3.120     0.979      0.13181      1.5
  2.9       3.245     0.981      0.12326      1.5
  2.9       3.378     0.975      0.11367      1.6
  2.9       3.519     0.956      0.10289      1.6
  2.9       3.669     0.949      0.09361      1.7
  2.9       3.829     0.960      0.08611      1.7
  2.9       4.000     0.972      0.07883      1.7
