E(MeV)      PFNS        Uncertainty
6.2500E-01  1.2103E+03  3.0670E+01
6.7500E-01  1.1899E+03  2.9310E+01
7.2500E-01  1.1682E+03  2.7840E+01
7.7500E-01  1.1483E+03  2.6150E+01
8.2500E-01  1.1422E+03  2.4400E+01
8.7500E-01  1.1374E+03  2.2510E+01
9.2500E-01  1.1322E+03  2.0220E+01
9.7500E-01  1.1025E+03  1.7390E+01
1.0250E+00  1.0737E+03  1.6140E+01
1.0750E+00  1.0575E+03  1.6440E+01
1.1250E+00  1.0456E+03  1.6830E+01
1.1750E+00  1.0344E+03  1.7050E+01
1.2250E+00  1.0241E+03  1.7180E+01
1.2750E+00  1.0070E+03  1.7530E+01
1.3250E+00  9.7957E+02  1.7660E+01
1.3750E+00  9.6678E+02  1.7710E+01
1.4250E+00  9.4508E+02  1.7570E+01
1.4750E+00  9.4218E+02  1.7960E+01
1.5250E+00  9.2732E+02  1.8160E+01
1.5750E+00  9.1081E+02  1.8420E+01
1.6250E+00  8.9181E+02  1.8440E+01
1.6750E+00  8.7751E+02  1.8320E+01
1.7250E+00  8.5211E+02  1.8090E+01
1.7750E+00  8.4656E+02  1.8520E+01
1.8250E+00  8.3528E+02  1.8670E+01
1.8750E+00  8.2370E+02  1.8510E+01
1.9250E+00  8.0637E+02  1.8770E+01
1.9750E+00  7.8415E+02  1.8570E+01
2.0500E+00  7.6832E+02  1.3290E+01
2.1500E+00  7.2670E+02  1.2990E+01
2.2500E+00  6.9857E+02  1.2870E+01
2.3490E+00  6.6744E+02  1.2700E+01
2.4500E+00  6.3579E+02  1.2470E+01
2.5490E+00  6.0860E+02  1.2230E+01
2.6490E+00  5.7350E+02  1.1910E+01
2.7500E+00  5.4518E+02  1.1600E+01
2.8490E+00  5.1286E+02  1.1090E+01
2.9490E+00  4.7834E+02  1.0620E+01
3.0490E+00  4.5374E+02  1.0510E+01
3.1500E+00  4.3463E+02  1.0350E+01
3.2500E+00  4.0693E+02  9.7200E+00
3.3490E+00  3.8450E+02  9.3300E+00
3.4490E+00  3.5764E+02  9.0200E+00
3.5500E+00  3.3317E+02  8.6200E+00
3.6490E+00  3.1191E+02  8.1400E+00
3.7500E+00  2.9341E+02  7.7300E+00
3.8490E+00  2.7643E+02  7.3900E+00
3.9490E+00  2.5990E+02  7.2200E+00
4.0500E+00  2.4314E+02  6.9300E+00
4.1500E+00  2.2521E+02  6.4200E+00
4.2490E+00  2.1104E+02  6.0000E+00
4.3480E+00  1.9864E+02  5.8700E+00
4.4500E+00  1.8576E+02  5.6300E+00
4.5490E+00  1.7288E+02  5.2500E+00
4.6500E+00  1.6400E+02  5.0300E+00
4.7470E+00  1.5221E+02  4.8500E+00
4.8500E+00  1.4155E+02  4.6900E+00
4.9500E+00  1.3231E+02  4.2400E+00
5.1210E+00  1.1729E+02  2.5800E+00
5.3700E+00  9.7190E+01  2.2190E+00
5.6210E+00  7.9386E+01  1.9280E+00
5.8720E+00  6.5366E+01  1.6690E+00
6.1190E+00  5.3640E+01  1.3960E+00
6.3690E+00  4.5110E+01  1.2490E+00
6.6230E+00  3.8197E+01  1.0980E+00
6.8680E+00  3.2228E+01  9.5100E-01
7.1210E+00  2.6172E+01  8.3500E-01
7.3720E+00  2.1947E+01  7.2900E-01
7.6190E+00  1.8794E+01  6.5600E-01
7.8720E+00  1.4825E+01  5.4200E-01
8.1200E+00  1.2173E+01  4.5100E-01
8.3700E+00  9.9700E+00  3.9600E-01
8.6170E+00  8.2640E+00  3.5900E-01
8.8730E+00  6.3950E+00  3.0100E-01
9.1250E+00  5.8270E+00  2.7900E-01
9.3660E+00  4.8180E+00  2.5300E-01
9.6210E+00  4.1920E+00  2.4200E-01
9.8730E+00  3.4730E+00  2.1700E-01
1.0237E+01  2.8190E+00  1.4800E-01
1.0730E+01  1.8840E+00  1.3200E-01
1.1251E+01  1.1850E+00  1.2100E-01
1.1714E+01  1.0000E+00  1.1900E-01
1.2212E+01  5.3700E-01  1.0300E-01
1.2749E+01  4.5100E-01  9.5000E-02
1.3291E+01  3.6900E-01  9.5000E-02
1.3690E+01  1.9400E-01  8.8000E-02
1.4244E+01  1.4000E-01  8.3000E-02
1.4823E+01  1.4000E-01  8.1000E-02
1.5225E+01  1.0800E-01  7.9000E-02
1.5629E+01  1.0700E-01  7.7000E-02
