E(MeV)  PFNS     Uncertainty
0.225   0.30052  0.165886
0.275   0.36688  0.108372
0.32    0.34794  0.0779247
0.355   0.34364  0.0672165
0.39    0.34466  0.0488684
0.43    0.36101  0.042504
0.465   0.35517  0.038046
0.495   0.34598  0.036686
0.53    0.35687  0.0321492
0.565   0.35955  0.03421
0.595   0.37056  0.0319224
0.625   0.36348  0.0290664
0.655   0.37874  0.027979
0.685   0.38689  0.0329695
0.715   0.37853  0.0310947
0.745   0.3692   0.029304
0.775   0.36665  0.0281265
0.805   0.36723  0.027097
0.835   0.36488  0.0259836
0.87    0.35997  0.0256768
0.91    0.36293  0.0239134
0.95    0.35256  0.0233492
0.99    0.35634  0.0226251
1.035   0.35006  0.0214434
1.085   0.33698  0.0208296
1.135   0.3293   0.0201566
1.19    0.3162   0.019291
1.25    0.30889  0.0188376
1.315   0.30445  0.0180074
1.385   0.29606  0.017465
1.46    0.2826   0.0166725
1.54    0.2741   0.0163296
1.625   0.26721  0.0160064
1.72    0.25343  0.015344
1.825   0.24095  0.01501
1.94    0.22967  0.014725
2.03    0.21824  0.0136948
2.095   0.20859  0.0135681
2.165   0.20405  0.013514
2.235   0.19801  0.0135575
2.31    0.18889  0.0134904
2.39    0.17909  0.013377
2.475   0.16974  0.01314
2.565   0.16053  0.013083
2.66    0.1495   0.0131219
2.76    0.14108  0.0130464
2.865   0.13381  0.0131784
2.975   0.12625  0.0132804
3.09    0.11922  0.0133416
3.215   0.11093  0.0135564
3.345   0.10369  0.0138092
3.485   0.09551  0.0141102
3.635   0.08734  0.014442
3.79    0.08074  0.0148889
3.96    0.07291  0.015224
4.14    0.06523  0.0156983
4.33    0.05677  0.0161116
4.54    0.05157  0.0171884
4.756   0.0457   0.0183309
5.005   0.0408   0.0198551
5.26    0.03503  0.0212073
5.535   0.0284   0.0227981
5.84    0.02467  0.0253302
6.17    0.02035  0.0273819
6.52    0.01705  0.0309812
6.9     0.01357  0.0348606
7.325   0.01093  0.041528
7.79    0.00886  0.0508068
8.295   0.0058   0.0565175
8.855   0.00288  0.0617223
9.47    0.00216  0.0848859
10.15   0.00144  0.1171449
10.915  0.00076  0.121992
11.77   0.00033  0.1646582
