E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)
0.0106101  0.504198  0.254828  50.5412
0.0119047  0.0640891  0.214534  334.744
0.0133574  0.0934994  0.191343  204.647
0.0149871  0.208984  0.166285  79.5681
0.0168159  0.148337  0.152502  102.808
0.0188677  0.194089  0.135345  69.7333
0.0211699  0.184276  0.120022  65.1315
0.023753  0.0544533  0.0994554  182.643
0.0266513  0.170317  0.091367  53.6454
0.0299033  0.198505  0.0814212  41.0172
0.033552  0.159481  0.0743422  46.6151
0.037646  0.207275  0.0690775  33.3265
0.0422396  0.210431  0.0617392  29.3394
0.0473935  0.256273  0.0579784  22.6237
0.0531764  0.315684  0.0543749  17.2245
0.0596649  0.28501  0.0506073  17.7563
0.0669452  0.267923  0.0486041  18.1411
0.0751137  0.299531  0.0452386  15.1032
0.0842789  0.33523  0.0448416  13.3764
0.0945625  0.380319  0.0424375  11.1584
0.106101  0.364733  0.0362091  9.92757
0.119048  0.337781  0.031249  9.25124
0.133574  0.37466  0.0277028  7.39412
0.149871  0.404535  0.0247157  6.10964
0.168158  0.435203  0.0202562  4.65443
0.188677  0.423786  0.0157881  3.72549
0.211699  0.44721  0.0126121  2.82017
0.23753  0.471977  0.0105648  2.23841
0.266513  0.459111  0.0100542  2.18994
0.299033  0.456999  0.0109263  2.39088
0.33552  0.481785  0.0124339  2.58081
0.37646  0.497804  0.0140902  2.83046
0.422396  0.492305  0.016346  3.32029
0.473936  0.514468  0.0189988  3.6929
0.531764  0.564035  0.0209598  3.71604
0.596649  0.535398  0.0203816  3.80681
0.669451  0.551329  0.019629  3.56031
0.751137  0.579459  0.018882  3.25855
0.84279  0.53314  0.0170526  3.19852
0.945626  0.520976  0.0154644  2.96835
1.06101  0.528494  0.0145739  2.75762
1.19048  0.48356  0.0128763  2.6628
1.33574  0.467618  0.0118064  2.52479
1.49871  0.434847  0.0107621  2.47491
1.68159  0.412747  0.00995802  2.41262
1.88677  0.368468  0.00899716  2.44178
2.11699  0.337026  0.00829387  2.4609
