235U(nth,f)
A N_gamma Uncertainty
81  1.82  2.45
82  -0.36  1.36
83  1.28  1.57
84  1.14  1.19
85  2.65  0.95
86  2.58  0.89
87  1.35  0.65
88  1.9  0.61
89  2.75  0.61
90  2.68  0.51
91  2.62  0.41
92  3.4  0.31
93  3.23  0.38
94  3.2  0.31
95  2.96  0.34
96  3.91  0.38
97  3.71  0.27
98  3.85  0.34
99  3.37  0.34
100  3.88  0.31
101  4.05  0.31
102  4.12  0.58
103  3.78  0.31
104  4.77  0.41
105  5.46  0.41
106  4.6  0.61
107  5.52  0.68
108  6  1.02
109  4.61  1.6
127  0.7  1.6
128  0.43  1.26
129  0.09  0.72
130  1.14  0.61
131  0.05  0.75
132  0.97  0.41
133  1.96  0.37
134  1.42  0.41
135  1.69  0.37
136  2  0.37
137  2.65  0.31
138  2.55  0.31
139  2.75  0.34
140  2.89  0.34
141  3.81  0.38
142  3.54  0.38
143  3.74  0.34
144  3.81  0.41
145  4.63  0.37
146  4.5  0.51
147  4.19  0.61
148  5.01  0.61
149  5.38  0.68
150  4.23  0.85
151  3.99  1.09
152  5.11  1.3
153  4.81  1.7
154  7.02  1.91
155  4.2  2.56

A	E_gamma (all)
80 1.6228 2.0658
81 2.6117 1.7365
82 4.1993 1.4072
83 0.8167 1.048
84 1.8954 0.8382
85 4.6206 0.6586
86 3.6932 0.5988
87 1.8377 0.4449
88 2.4373 0.3592
89 2.917 0.4191
90 3.3071 0.2695
91 3.3078 0.2394
92 4.2665 0.2994
93 3.3092 0.2994
94 3.729 0.2098
95 3.2209 0.2095
96 4.2397 0.3592
97 3.7314 0.2396
98 3.9417 0.3294
99 3.8227 0.2396
100 3.2246 0.2096
101 3.884 0.2397
102 3.9149 0.2994
103 3.7658 0.2396
104 4.4852 0.2396
105 4.6058 0.3593
106 3.9179 0.3591
107 4.8168 0.4787
108 5.4163 0.8083
109 6.1656 1.1977
110 4.9987 1.7965
111 3.8617 2.7244
125 0.938 2.6647
126 -1.2468 2.1856
127 -0.7971 1.3174
128 0.2517 0.8682
129 0.9111 0.5687
130 1.7801 0.3295
131 1.3018 0.3593
132 1.7816 0.2395
133 2.5609 0.2096
134 2.1423 0.2996
135 2.1732 0.2693
136 2.8325 0.1796
137 2.1446 0.2097
138 2.2952 0.2395
139 2.5354 0.2693
140 2.3865 0.1798
141 3.3152 0.2395
142 2.6273 0.2696
143 3.2271 0.2395
144 2.4492 0.2695
145 3.4083 0.2994
146 3.3791 0.3591
147 3.2899 0.449
148 4.0691 0.419
149 4.3992 0.4792
150 2.8429 0.5388
151 1.8855 0.7485
152 4.2217 0.9281
153 5.5998 1.1973
154 2.9656 1.587
155 3.6848 1.8864
156 4.2546 2.4551

A	E_gamma/N_gamma  uncertainty
  81.  1.435  0.855461924
  82. -11.6647222 -3.89360075
  83.  0.638046875  0.565731712
  84.  1.66263158  0.677014587
  85.  1.74362264  0.230943421
  86.  1.43147287  0.210048741
  87.  1.36125926  0.294431178
  88.  1.28278947  0.17181504
  89.  1.06072727  0.127912185
  90.  1.23399254  0.0924404075
  91.  1.26251908  0.0829338711
  92.  1.25485294  0.0697831565
  93.  1.02452012  0.0734779411
  94.  1.1653125  0.0566947435
  95.  1.08814189  0.0615881966
  96.  1.08432225  0.0692482187
  97.  1.00576819  0.0484270249
  98.  1.02381818  0.0621449934
  99.  1.13433234  0.0603924375
  100.  0.831082474  0.0419045694
  101.  0.959012346  0.0460745399
  102.  0.950218447  0.0638556517
  103.  0.996243386  0.0500816067
  104.  0.940293501  0.0426624886
  105.  0.843553114  0.0456363888
  106.  0.851717391  0.0642185384
  107.  0.872608696  0.067495171
  108.  0.902716667  0.101241435
  109.  1.33744035  0.226710422
  127. -1.13871429 -1.5250813
  128.  0.585348837  1.30720436
  129.  10.1233333  6.29974246
  130.  1.56149123  0.273153175
  131.  26.036  7.18478384
  132.  1.83670103  0.235293819
  133.  1.30658163  0.098114024
  134.  1.50866197  0.189884689
  135.  1.28591716  0.138676497
  136.  1.41625  0.0849490006
  137.  0.809283019  0.0607152714
  138.  0.900078431  0.0712681101
  139.  0.921963636  0.0742800534
  140.  0.825778547  0.0523921502
  141.  0.870131234  0.0509090113
  142.  0.742175141  0.0550511369
  143.  0.862860963  0.0496063159
  144.  0.642834646  0.0494569228
  145.  0.736133909  0.0435149573
  146.  0.750911111  0.0582117122
  147.  0.785178998  0.0781791113
  148.  0.812195609  0.0638579287
  149.  0.817695167  0.0674712974
  150.  0.672080378  0.0926631288
  151.  0.472556391  0.106346467
  152.  0.826164384  0.137423066
  153.  1.16419958  0.212978756

TKE 	E_gamma
147 6.9588 1.1524
150 6.9628 0.6997
153 6.7203 0.5763
156 6.8889 0.4527
159 6.7285 0.3701
162 6.7324 0.2882
165 6.7779 0.2469
168 6.5762 0.2469
171 6.4156 0.4115
174 6.3787 0.288
177 6.3006 0.4524
180 6.2634 0.535
183 6.1442 0.4525
186 5.9423 0.494
189 5.7409 0.8232
192 5.8272 1.0289
195 5.1728 1.0288
198 5.5472 1.4815
201 4.893 2.5927
