# Pre-equilibrium particle emission
# num energy points =  104
# Energy            xs (b)         prob
#  E (MeV)      xs_tot (b)               g               n               p               g               n               p
    0.1010   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.3029   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.5048   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.7068   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.9087   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.1106   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.3126   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.5145   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.7164   0.2804397E-02   0.0000000E+00   0.2804397E-02   0.0000000E+00   0.0000000E+00   0.4387021E-03   0.0000000E+00
    1.9184   0.7895515E-02   0.0000000E+00   0.7895515E-02   0.0000000E+00   0.0000000E+00   0.1294516E-02   0.0000000E+00
    2.1203   0.1417306E-01   0.0000000E+00   0.1417306E-01   0.0000000E+00   0.0000000E+00   0.2451393E-02   0.0000000E+00
    2.3222   0.2167519E-01   0.0000000E+00   0.2167519E-01   0.0000000E+00   0.0000000E+00   0.3951601E-02   0.0000000E+00
    2.5242   0.3094459E-01   0.0000000E+00   0.3094459E-01   0.0000000E+00   0.0000000E+00   0.5911034E-02   0.0000000E+00
    2.7261   0.4215161E-01   0.0000000E+00   0.4215161E-01   0.0000000E+00   0.0000000E+00   0.8370835E-02   0.0000000E+00
    2.9280   0.5474956E-01   0.0000000E+00   0.5474956E-01   0.0000000E+00   0.0000000E+00   0.1122761E-01   0.0000000E+00
    3.1300   0.6802171E-01   0.0000000E+00   0.6802171E-01   0.0000000E+00   0.0000000E+00   0.1433858E-01   0.0000000E+00
    3.3319   0.8149871E-01   0.0000000E+00   0.8149871E-01   0.0000000E+00   0.0000000E+00   0.1760364E-01   0.0000000E+00
    3.5338   0.9490284E-01   0.0000000E+00   0.9490284E-01   0.6934360E-15   0.0000000E+00   0.2095770E-01   0.1531337E-15
    3.7357   0.1081008E+00   0.0000000E+00   0.1081008E+00   0.1500215E-14   0.0000000E+00   0.2435737E-01   0.3380297E-15
    3.9377   0.1211105E+00   0.0000000E+00   0.1211105E+00   0.2382318E-14   0.0000000E+00   0.2778012E-01   0.5464518E-15
    4.1396   0.1340714E+00   0.0000000E+00   0.1340714E+00   0.3317338E-14   0.0000000E+00   0.3121759E-01   0.7724188E-15
    4.3415   0.1470956E+00   0.0000000E+00   0.1470956E+00   0.4291220E-14   0.0000000E+00   0.3466742E-01   0.1011352E-14
    4.5435   0.1603021E+00   0.0000000E+00   0.1603021E+00   0.5296712E-14   0.0000000E+00   0.3812687E-01   0.1259791E-14
    4.7454   0.1738387E+00   0.0000000E+00   0.1738387E+00   0.6332336E-14   0.0000000E+00   0.4159188E-01   0.1515047E-14
    4.9473   0.1878238E+00   0.0000000E+00   0.1878238E+00   0.7399274E-14   0.0000000E+00   0.4505801E-01   0.1775050E-14
    5.1493   0.2023836E+00   0.0000000E+00   0.2023836E+00   0.8501306E-14   0.0000000E+00   0.4852125E-01   0.2038179E-14
    5.3512   0.2176251E+00   0.0000000E+00   0.2176251E+00   0.9642352E-14   0.0000000E+00   0.5198079E-01   0.2303122E-14
    5.5531   0.2336416E+00   0.0000000E+00   0.2336416E+00   0.1082933E-13   0.0000000E+00   0.5543523E-01   0.2569432E-14
    5.7551   0.2504560E+00   0.0000000E+00   0.2504560E+00   0.1210798E-13   0.0000000E+00   0.5888413E-01   0.2846680E-14
    5.9570   0.2680355E+00   0.0000000E+00   0.2680355E+00   0.1388930E-13   0.0000000E+00   0.6232831E-01   0.3229784E-14
    6.1589   0.2862480E+00   0.0000000E+00   0.2862480E+00   0.1892609E-13   0.0000000E+00   0.6576965E-01   0.4348544E-14
    6.3609   0.3049588E+00   0.0000000E+00   0.3049588E+00   0.4220918E-13   0.0000000E+00   0.6921036E-01   0.9579368E-14
    6.5628   0.3239080E+00   0.0000000E+00   0.3239080E+00   0.1524584E-12   0.0000000E+00   0.7265282E-01   0.3419653E-13
    6.7647   0.3429140E+00   0.0000000E+00   0.3429140E+00   0.6172409E-12   0.0000000E+00   0.7609957E-01   0.1369783E-12
    6.9667   0.3616598E+00   0.0000000E+00   0.3616598E+00   0.2346434E-11   0.0000000E+00   0.7955340E-01   0.5161391E-12
    7.1686   0.3800058E+00   0.0000000E+00   0.3800058E+00   0.8092169E-11   0.0000000E+00   0.8301681E-01   0.1767831E-11
    7.3705   0.3979956E+00   0.0000000E+00   0.3979956E+00   0.2536762E-10   0.0000000E+00   0.8649229E-01   0.5512883E-11
    7.5725   0.4154187E+00   0.0000000E+00   0.4154187E+00   0.7288494E-10   0.0000000E+00   0.8998108E-01   0.1578712E-10
    7.7744   0.4324003E+00   0.0000000E+00   0.4324003E+00   0.1936454E-09   0.0000000E+00   0.9348501E-01   0.4186617E-10
    7.9763   0.4490175E+00   0.0000000E+00   0.4490175E+00   0.4792237E-09   0.0000000E+00   0.9700363E-01   0.1035292E-09
    8.1783   0.4651323E+00   0.0000000E+00   0.4651323E+00   0.1113453E-08   0.0000000E+00   0.1005356E+00   0.2406664E-09
    8.3802   0.4810304E+00   0.0000000E+00   0.4810304E+00   0.2445668E-08   0.0000000E+00   0.1040790E+00   0.5291612E-09
    8.5821   0.4966140E+00   0.0000000E+00   0.4966140E+00   0.5170540E-08   0.0000000E+00   0.1076309E+00   0.1120608E-08
    8.7841   0.5119000E+00   0.0000000E+00   0.5119000E+00   0.2710919E-07   0.0000000E+00   0.1111883E+00   0.5888309E-08
    8.9860   0.5271147E+00   0.0000000E+00   0.5271147E+00   0.5975026E-07   0.0000000E+00   0.1147480E+00   0.1300708E-07
    9.1879   0.5421902E+00   0.0000000E+00   0.5421900E+00   0.1165889E-06   0.0000000E+00   0.1183062E+00   0.2543978E-07
    9.3899   0.5571763E+00   0.0000000E+00   0.5571761E+00   0.1973176E-06   0.0000000E+00   0.1218603E+00   0.4315544E-07
    9.5918   0.5722104E+00   0.0000000E+00   0.5722101E+00   0.3332733E-06   0.0000000E+00   0.1254071E+00   0.7304108E-07
    9.7937   0.5872638E+00   0.0000000E+00   0.5872633E+00   0.5398422E-06   0.0000000E+00   0.1289440E+00   0.1185319E-06
    9.9957   0.6023716E+00   0.0000000E+00   0.6023707E+00   0.8642244E-06   0.0000000E+00   0.1324688E+00   0.1900536E-06
