#  n+238U
# Incident Energy =   11.40918
# Particle spectrum from Pre-equilibrium emission from 239U
# num energy points =  128
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.201087   0.0000000E+00   0.2988663E-01   0.1199874E-08
  0.402175   0.0000000E+00   0.5616944E-01   0.1102502E-08
  0.603262   0.0000000E+00   0.7310870E-01   0.1014585E-08
  0.804350   0.0000000E+00   0.9163695E-01   0.9350791E-09
  1.005437   0.0000000E+00   0.1181632E+00   0.8630569E-09
  1.206525   0.0000000E+00   0.1467055E+00   0.7976962E-09
  1.407612   0.0000000E+00   0.1658510E+00   0.7382679E-09
  1.608700   0.0000000E+00   0.1732790E+00   0.6841256E-09
  1.809787   0.0000000E+00   0.1734625E+00   0.6346968E-09
  2.010875   0.0000000E+00   0.1695355E+00   0.5891567E-09
  2.211962   0.0000000E+00   0.1637195E+00   0.5517497E-09
  2.413050   0.0000000E+00   0.1576094E+00   0.5975834E-09
  2.614137   0.0000000E+00   0.1520320E+00   0.1364520E-08
  2.815224   0.0000000E+00   0.1471527E+00   0.6763913E-08
  3.016312   0.0000000E+00   0.1427074E+00   0.3642695E-07
  3.217399   0.0000000E+00   0.1384752E+00   0.1732417E-06
  3.418487   0.0000000E+00   0.1343385E+00   0.7108867E-06
  3.619574   0.0000000E+00   0.1302648E+00   0.2559364E-05
  3.820662   0.0000000E+00   0.1263151E+00   0.8219816E-05
  4.021749   0.0000000E+00   0.1225449E+00   0.2386704E-04
  4.222837   0.0000000E+00   0.1190393E+00   0.6339482E-04
  4.423924   0.0000000E+00   0.1157957E+00   0.1553991E-03
  4.625012   0.0000000E+00   0.1128364E+00   0.3537902E-03
  4.826099   0.0000000E+00   0.1101610E+00   0.7558112E-03
  5.027187   0.0000000E+00   0.1077676E+00   0.1522718E-02
  5.228274   0.0000000E+00   0.1056353E+00   0.3000853E-02
  5.429361   0.0000000E+00   0.1037391E+00   0.2844626E-01
  5.630449   0.0000000E+00   0.1020131E+00   0.3287793E-01
  5.831536   0.0000000E+00   0.1004217E+00   0.5330021E-01
  6.032624   0.0000000E+00   0.9882737E-01   0.6539925E-01
  6.233711   0.0000000E+00   0.9719318E-01   0.1095608E+00
  6.434799   0.0000000E+00   0.9538170E-01   0.1519936E+00
  6.635886   0.0000000E+00   0.9336319E-01   0.2244449E+00
  6.836974   0.0000000E+00   0.9105163E-01   0.3089941E+00
  7.038061   0.0000000E+00   0.8841128E-01   0.4077079E+00
  7.239149   0.0000000E+00   0.8545340E-01   0.5266456E+00
  7.440236   0.0000000E+00   0.8220464E-01   0.6463506E+00
  7.641324   0.0000000E+00   0.7865629E-01   0.7586159E+00
  7.842411   0.0000000E+00   0.7489457E-01   0.8300424E+00
  8.043498   0.0000000E+00   0.7090514E-01   0.8226935E+00
  8.244586   0.0000000E+00   0.6669802E-01   0.0000000E+00
  8.445673   0.0000000E+00   0.6233570E-01   0.0000000E+00
  8.646761   0.0000000E+00   0.5778377E-01   0.0000000E+00
  8.847848   0.0000000E+00   0.5304851E-01   0.0000000E+00
  9.048936   0.0000000E+00   0.4812842E-01   0.0000000E+00
  9.250023   0.0000000E+00   0.4299175E-01   0.0000000E+00
  9.451111   0.0000000E+00   0.3751993E-01   0.0000000E+00
  9.652198   0.0000000E+00   0.3189621E-01   0.0000000E+00
  9.853286   0.0000000E+00   0.2584894E-01   0.0000000E+00
 10.054373   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.255461   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.456548   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.657635   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.858723   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.059810   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.260898   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.461985   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.663073   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.864160   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.065248   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.266335   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.467423   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.668510   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.869598   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.070685   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.271772   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.472860   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.673947   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.875035   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.076122   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.277210   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.478297   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.679385   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.880472   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.081560   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.282647   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.483735   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.684822   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.885909   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.086997   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.288084   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.489172   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.690259   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.891347   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.092434   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.293522   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.494609   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.695697   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.896784   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.097872   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.298959   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.500046   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.701134   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.902221   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.103309   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.304396   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.505484   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.706571   0.0000000E+00   0.0000000E+00   0.0000000E+00
 19.907659   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.108746   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.309834   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.510921   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.712009   0.0000000E+00   0.0000000E+00   0.0000000E+00
 20.913096   0.0000000E+00   0.0000000E+00   0.0000000E+00
 21.114183   0.0000000E+00   0.0000000E+00   0.0000000E+00
 21.315271   0.0000000E+00   0.0000000E+00   0.0000000E+00
 21.516358   0.0000000E+00   0.0000000E+00   0.0000000E+00
 21.717446   0.0000000E+00   0.0000000E+00   0.0000000E+00
 21.918533   0.0000000E+00   0.0000000E+00   0.0000000E+00
 22.119621   0.0000000E+00   0.0000000E+00   0.0000000E+00
 22.320708   0.0000000E+00   0.0000000E+00   0.0000000E+00
 22.521796   0.0000000E+00   0.0000000E+00   0.0000000E+00
 22.722883   0.0000000E+00   0.0000000E+00   0.0000000E+00
 22.923971   0.0000000E+00   0.0000000E+00   0.0000000E+00
 23.125058   0.0000000E+00   0.0000000E+00   0.0000000E+00
 23.326146   0.0000000E+00   0.0000000E+00   0.0000000E+00
 23.527233   0.0000000E+00   0.0000000E+00   0.0000000E+00
 23.728320   0.0000000E+00   0.0000000E+00   0.0000000E+00
 23.929408   0.0000000E+00   0.0000000E+00   0.0000000E+00
 24.130495   0.0000000E+00   0.0000000E+00   0.0000000E+00
 24.331583   0.0000000E+00   0.0000000E+00   0.0000000E+00
 24.532670   0.0000000E+00   0.0000000E+00   0.0000000E+00
 24.733758   0.0000000E+00   0.0000000E+00   0.0000000E+00
 24.934845   0.0000000E+00   0.0000000E+00   0.0000000E+00
 25.135933   0.0000000E+00   0.0000000E+00   0.0000000E+00
 25.337020   0.0000000E+00   0.0000000E+00   0.0000000E+00
 25.538108   0.0000000E+00   0.0000000E+00   0.0000000E+00
 25.739195   0.0000000E+00   0.0000000E+00   0.0000000E+00
